0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0
0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0,0144
0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0,0913
0	1	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0,2212
0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0,4278
0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0,5577
0	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0,7596
0	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	1	0,8942
0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0,9519
0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0,9856
0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1
0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0,9712
0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0,851
0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	1	0,7404
0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1	0,6298
0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0,5
1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0,4856
1	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	0,3942

